Date,Close
11/30/2015,8.34
12/1/2015,8.28
12/2/2015,8.13
12/3/2015,8.065
12/4/2015,8.185
12/7/2015,8.155
12/8/2015,7.96
12/9/2015,8.06
12/10/2015,8.215
12/11/2015,8.115
12/14/2015,8.26
12/15/2015,8.395
12/16/2015,8.46
12/17/2015,8.315
12/18/2015,8.175
12/21/2015,8.28
12/22/2015,8.395
12/23/2015,8.43
12/24/2015,8.425
12/28/2015,8.42
12/29/2015,8.475
12/30/2015,8.41
12/31/2015,8.375
1/4/2016,8.12
1/5/2016,8.1
1/6/2016,8.035
1/7/2016,8.03
1/8/2016,8.085
1/11/2016,8.125
1/12/2016,8.285
1/13/2016,8.23
1/14/2016,8.925
1/15/2016,8.66
1/19/2016,8.74
1/20/2016,8.71
1/21/2016,8.935
1/22/2016,8.95
1/25/2016,8.905
1/26/2016,8.76
1/27/2016,8.71
1/28/2016,8.65
1/29/2016,8.955
2/1/2016,8.885
2/2/2016,8.78
2/3/2016,8.825
2/4/2016,8.92
2/5/2016,8.675
2/8/2016,8.275
2/9/2016,8.17
2/10/2016,8.175
2/11/2016,8.105
2/12/2016,8.05
2/16/2016,8.105
2/17/2016,8.24
2/18/2016,8.205
2/19/2016,8.195
2/22/2016,8.445
2/23/2016,8.325
2/24/2016,8.42
2/25/2016,8.435
2/26/2016,8.445
2/29/2016,8.41
3/1/2016,8.71
3/2/2016,8.84
3/3/2016,9.09
3/4/2016,9.22
3/7/2016,9.205
3/8/2016,8.96
3/9/2016,8.92
3/10/2016,8.885
3/11/2016,8.98
3/14/2016,9.01
3/15/2016,8.875
3/16/2016,9.09
3/17/2016,9.165
3/18/2016,9.26
3/21/2016,9.34
3/22/2016,9.255
3/23/2016,9.33
3/24/2016,9.405
3/28/2016,9.375
3/29/2016,9.345
3/30/2016,9.58
3/31/2016,9.51
4/1/2016,9.625
4/4/2016,9.625
4/5/2016,9.405
4/6/2016,9.4
4/7/2016,9.055
4/8/2016,9.025
4/11/2016,9.085
4/12/2016,9.1
4/13/2016,9.175
4/14/2016,9.225
4/15/2016,10
4/18/2016,9.645
4/19/2016,9.675
4/20/2016,9.67
4/21/2016,9.47
4/22/2016,9.54
4/25/2016,9.54
4/26/2016,9.615
4/27/2016,9.61
4/28/2016,9.445
4/29/2016,9.4
5/2/2016,9.395
5/3/2016,9.255
5/4/2016,9.22
5/5/2016,9.2
5/6/2016,9.2
5/9/2016,9.345
5/10/2016,9.495
5/11/2016,9.33
5/12/2016,9.36
5/13/2016,9.275
5/16/2016,9.43
5/17/2016,9.21
5/18/2016,9.32
5/19/2016,9.235
5/20/2016,9.23
5/23/2016,9.195
5/24/2016,9.295
5/25/2016,9.405
5/26/2016,9.59
5/27/2016,9.745
5/31/2016,9.72
6/1/2016,9.775
6/2/2016,9.835
6/3/2016,9.805
6/6/2016,9.855
6/7/2016,9.77
6/8/2016,9.65
6/9/2016,9.115
6/10/2016,9.04
6/13/2016,8.965
6/14/2016,9.03
6/15/2016,9.055
6/16/2016,9.12
6/17/2016,9.135
6/20/2016,9.31
6/21/2016,9.27
6/22/2016,9.29
6/23/2016,9.49
6/24/2016,9.04
6/27/2016,8.665
6/28/2016,8.775
6/29/2016,8.89
6/30/2016,8.925
7/1/2016,8.955
7/5/2016,8.915
7/6/2016,8.815
7/7/2016,8.835
7/8/2016,8.92
7/11/2016,9.065
7/12/2016,9.135
7/13/2016,9.155
7/14/2016,9.22
7/15/2016,8.405
7/18/2016,8.41
7/19/2016,8.325
7/20/2016,8.375
7/21/2016,8.31
7/22/2016,8.285
7/25/2016,8.345
7/26/2016,8.375
7/27/2016,8.35
7/28/2016,8.295
7/29/2016,8.215
8/1/2016,8.285
8/2/2016,8.195
8/3/2016,8.175
8/4/2016,8.045
8/5/2016,8.125
8/8/2016,8.135
8/9/2016,8.18
8/10/2016,8.255
8/11/2016,8.215
8/12/2016,8.07
8/15/2016,8.1
8/16/2016,7.975
8/17/2016,7.96
8/18/2016,7.94
8/19/2016,7.95
8/22/2016,7.9
8/23/2016,8.27
8/24/2016,8.195
8/25/2016,8.025
8/26/2016,7.95
8/29/2016,7.875
8/30/2016,7.93
8/31/2016,7.93
